"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"250","RT @chaitanya1309: Its not about Down Market. Had this crowd cane against Kejriwal they wud have shown it. Anti BjP factions are invisible…",FALSE,0,NA,2017-05-22 18:52:13,FALSE,NA,"866728423238008835",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sehgal_indian",54,TRUE,FALSE,NA,NA
"251","RT @TimesNow: ACB raids residence of Delhi CM Arvind Kejriwal’s late brother-in-law, seize documents in connection with PWD scam https://t.…",FALSE,0,NA,2017-05-22 18:52:02,FALSE,NA,"866728376559697920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Setul",178,TRUE,FALSE,NA,NA
"252","RT @MaheishGirri: Kejriwal is not granting funds to EDMC and its resulting in suffering of thousands of families of the sanitation workers.",FALSE,0,NA,2017-05-22 18:51:59,FALSE,NA,"866728362504355840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MGBhakt",11,TRUE,FALSE,NA,NA
"253","RT @ippatel: Personal assistant of Aam Aadmi Party leader Sanjay Singh booked for molesting a woman.
Another Ration Card is made under Kejr…",FALSE,0,NA,2017-05-22 18:51:58,FALSE,NA,"866728357903253504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bharatpatel555",24,TRUE,FALSE,NA,NA
"254","RT @republic: #BREAKING ACB top sources to Republic TV: Projects involving Kejriwal's kin under scanner",FALSE,0,NA,2017-05-22 18:51:57,FALSE,NA,"866728353859911680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bakshiamit1212",67,TRUE,FALSE,NA,NA
"255","RT @TimesNow: ACB raids residence of Delhi CM Arvind Kejriwal’s late brother-in-law, seize documents in connection with PWD scam https://t.…",FALSE,0,NA,2017-05-22 18:51:48,FALSE,NA,"866728317008977924",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mahendrajosh82",178,TRUE,FALSE,NA,NA
"256","RT @ippatel: Personal assistant of Aam Aadmi Party leader Sanjay Singh booked for molesting a woman.
Another Ration Card is made under Kejr…",FALSE,0,NA,2017-05-22 18:51:14,FALSE,NA,"866728175467999233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rkvbigboss",24,TRUE,FALSE,NA,NA
"257","RT @republic: #BREAKING ACB carries out raids at Kejriwal's late brother-in-law's residence and office of two companies",FALSE,0,NA,2017-05-22 18:51:08,FALSE,NA,"866728147655512065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amitchitalia",146,TRUE,FALSE,NA,NA
"258","RT @republic: #BREAKING ACB carries out raids at Kejriwal's late brother-in-law's residence and office of two companies",FALSE,0,NA,2017-05-22 18:50:55,FALSE,NA,"866728095436484611",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","All0None5510",146,TRUE,FALSE,NA,NA
"259","RT @republic: #BREAKING ACB carries out raids at Kejriwal's late brother-in-law's residence and office of two companies",FALSE,0,NA,2017-05-22 18:50:49,FALSE,NA,"866728071461785601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","saurabh_nand",146,TRUE,FALSE,NA,NA
