"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"65","Idea Cellular Partners With OYO Rooms Allowing Customers to Book Hotels via Idea Money https://t.co/LArr7mMh2o",FALSE,0,NA,2017-06-06 11:50:16,FALSE,NA,"872058054782484481",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Manjunatha_MN",0,FALSE,FALSE,NA,NA
"66","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 11:48:52,FALSE,NA,"872057701953490944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sanjaybohrajj",27,TRUE,FALSE,NA,NA
"67","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 11:47:10,FALSE,NA,"872057272544788480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","riteshpunatar",27,TRUE,FALSE,NA,NA
"68","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 11:44:49,FALSE,NA,"872056681995186176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pkavedi",27,TRUE,FALSE,NA,NA
"69","Now You Can Book OYO Rooms Using Idea Money - TeleAnalysis

TeleAnalysis

Now You Can Book OYO Rooms Using Idea Mo… https://t.co/PXZOv8YKWM",FALSE,0,NA,2017-06-06 11:44:35,FALSE,NA,"872056620557250560",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TSIUSA",0,FALSE,FALSE,NA,NA
"70","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 11:41:11,FALSE,NA,"872055765606875138",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Priyanka_Ji",27,TRUE,FALSE,NA,NA
"71","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 11:36:41,FALSE,NA,"872054635938201600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MahendraPBafna",27,TRUE,FALSE,NA,NA
"72","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 11:33:45,FALSE,NA,"872053897187151872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MahendraMMumbai",27,TRUE,FALSE,NA,NA
"73","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 11:29:34,FALSE,NA,"872052842185465856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mekalwinT",27,TRUE,FALSE,NA,NA
"74","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 11:26:35,FALSE,NA,"872052091342036993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mukesh_rajat",27,TRUE,FALSE,NA,NA
"75","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 11:21:40,FALSE,NA,"872050856543125504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mukeshrajat",27,TRUE,FALSE,NA,NA
"76","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 11:12:50,FALSE,NA,"872048633201348608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lucky_seth",27,TRUE,FALSE,NA,NA
"77","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 11:07:58,FALSE,NA,"872047409190150144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kunal_mb",27,TRUE,FALSE,NA,NA
